pair,method,seed,bleu,chrf3
kk-en,baseline,10,2.0,0.234
en-kk,baseline,10,1.0,0.216
gu-en,baseline,10,0.0,0.048
en-gu,baseline,10,0.0,0.01
kk-en,baseline,11,2.5,0.247
en-kk,baseline,11,1.0,0.207
gu-en,baseline,11,0.1,0.043
en-gu,baseline,11,0.0,0.018
kk-en,baseline,12,2.6,0.245
en-kk,baseline,12,1.0,0.206
gu-en,baseline,12,0.0,0.037
en-gu,baseline,12,0.0,0.015
kk-en,baseline,13,2.1,0.228
en-kk,baseline,13,0.9,0.213
gu-en,baseline,13,0.0,0.005
en-gu,baseline,13,0.0,0.01
kk-en,baseline,14,2.3,0.231
en-kk,baseline,14,1.0,0.209
gu-en,baseline,14,0.0,0.027
en-gu,baseline,14,0.0,0.02
kk-en,subword-nmt,10,2.9,0.238
en-kk,subword-nmt,10,0.7,0.207
gu-en,subword-nmt,10,0.0,0.043
en-gu,subword-nmt,10,0.0,0.012
kk-en,subword-nmt,11,3.2,0.235
en-kk,subword-nmt,11,0.7,0.206
gu-en,subword-nmt,11,0.0,0.02
en-gu,subword-nmt,11,0.0,0.014
kk-en,subword-nmt,12,3.3,0.245
en-kk,subword-nmt,12,0.7,0.207
gu-en,subword-nmt,12,0.0,0.036
en-gu,subword-nmt,12,0.0,0.013
kk-en,subword-nmt,13,2.8,0.238
en-kk,subword-nmt,13,0.8,0.207
gu-en,subword-nmt,13,0.0,0.029
en-gu,subword-nmt,13,0.0,0.013
kk-en,subword-nmt,14,3.3,0.247
en-kk,subword-nmt,14,0.7,0.213
gu-en,subword-nmt,14,0.0,0.019
en-gu,subword-nmt,14,0.0,0.017
kk-en,lmvr-tuned,10,1.7,0.233
en-kk,lmvr-tuned,10,0.3,0.208
gu-en,lmvr-tuned,10,0.0,0.083
en-gu,lmvr-tuned,10,0.0,0.018
kk-en,lmvr-tuned,11,1.6,0.234
en-kk,lmvr-tuned,11,0.5,0.211
gu-en,lmvr-tuned,11,0.0,0.084
en-gu,lmvr-tuned,11,0.0,0.02
kk-en,lmvr-tuned,12,1.7,0.239
en-kk,lmvr-tuned,12,0.4,0.209
gu-en,lmvr-tuned,12,0.0,0.059
en-gu,lmvr-tuned,12,0.0,0.029
kk-en,lmvr-tuned,13,1.7,0.236
en-kk,lmvr-tuned,13,0.5,0.209
gu-en,lmvr-tuned,13,0.0,0.052
en-gu,lmvr-tuned,13,0.0,0.019
kk-en,lmvr-tuned,14,1.8,0.244
en-kk,lmvr-tuned,14,0.5,0.202
gu-en,lmvr-tuned,14,0.0,0.085
en-gu,lmvr-tuned,14,0.0,0.025
kk-en,morsel,10,1.9,0.243
en-kk,morsel,10,0.5,0.192
gu-en,morsel,10,0.0,0.053
en-gu,morsel,10,0.0,0.015
kk-en,morsel,11,1.9,0.247
en-kk,morsel,11,0.4,0.201
gu-en,morsel,11,0.0,0.027
en-gu,morsel,11,0.0,0.006
kk-en,morsel,12,1.8,0.245
en-kk,morsel,12,0.6,0.205
gu-en,morsel,12,0.0,0.049
en-gu,morsel,12,0.0,0.011
kk-en,morsel,13,1.9,0.251
en-kk,morsel,13,0.6,0.214
gu-en,morsel,13,0.0,0.025
en-gu,morsel,13,0.0,0.013
kk-en,morsel,14,1.9,0.242
en-kk,morsel,14,0.6,0.194
gu-en,morsel,14,0.0,0.051
en-gu,morsel,14,0.0,0.016
