pair,method,seed,bleu,chrf3
gu-en,baseline,10,0.0,0.024
en-gu,baseline,10,0.0,0.008
gu-en,baseline,11,0.0,0.003
en-gu,baseline,11,0.0,0.009
gu-en,baseline,12,0.0,0.004
en-gu,baseline,12,0.0,0.016
gu-en,baseline,13,0.0,0.005
en-gu,baseline,13,0.0,0.014
gu-en,baseline,14,0.0,0.007
en-gu,baseline,14,0.0,0.011
gu-en,subword-nmt,10,0.0,0.031
en-gu,subword-nmt,10,0.0,0.014
gu-en,subword-nmt,11,0.0,0.045
en-gu,subword-nmt,11,0.0,0.007
gu-en,subword-nmt,12,0.0,0.049
en-gu,subword-nmt,12,0.0,0.018
gu-en,subword-nmt,13,0.0,0.064
en-gu,subword-nmt,13,0.0,0.003
gu-en,subword-nmt,14,0.0,0.06
en-gu,subword-nmt,14,0.0,0.011
