pair,method,seed,bleu,chrf3
kk-en,baseline,10,2.1,0.227
en-kk,baseline,10,0.7,0.201
kk-en,baseline,11,2.5,0.233
en-kk,baseline,11,0.9,0.186
kk-en,baseline,12,2.5,0.243
en-kk,baseline,12,0.9,0.197
kk-en,baseline,13,2.4,0.225
en-kk,baseline,13,1.0,0.209
kk-en,baseline,14,1.9,0.231
en-kk,baseline,14,1.0,0.218
kk-en,subword-nmt,10,1.9,0.244
en-kk,subword-nmt,10,0.6,0.203
kk-en,subword-nmt,11,1.6,0.246
en-kk,subword-nmt,11,0.5,0.199
kk-en,subword-nmt,12,1.9,0.238
en-kk,subword-nmt,12,0.5,0.194
kk-en,subword-nmt,13,1.5,0.241
en-kk,subword-nmt,13,0.5,0.195
kk-en,subword-nmt,14,1.5,0.233
en-kk,subword-nmt,14,0.4,0.204
