pair,method,seed,bleu,chrf3
kk-en,baseline,10,2.0,0.226
en-kk,baseline,10,1.0,0.206
kk-en,baseline,11,2.4,0.24
en-kk,baseline,11,1.1,0.212
kk-en,baseline,12,2.3,0.245
en-kk,baseline,12,1.0,0.208
kk-en,baseline,13,2.4,0.235
en-kk,baseline,13,1.0,0.201
kk-en,baseline,14,2.1,0.232
en-kk,baseline,14,0.9,0.198
kk-en,subword-nmt,10,1.4,0.25
en-kk,subword-nmt,10,0.3,0.192
kk-en,subword-nmt,11,1.5,0.247
en-kk,subword-nmt,11,0.8,0.212
kk-en,subword-nmt,12,1.5,0.246
en-kk,subword-nmt,12,0.4,0.202
kk-en,subword-nmt,13,2.0,0.254
en-kk,subword-nmt,13,0.5,0.205
kk-en,subword-nmt,14,1.7,0.254
en-kk,subword-nmt,14,0.5,0.201
