pair,method,seed,bleu,chrf3
gu-en,baseline,10,0.0,0.021
en-gu,baseline,10,0.0,0.021
gu-en,baseline,11,0.0,0.027
en-gu,baseline,11,0.0,0.012
gu-en,baseline,12,0.1,0.083
en-gu,baseline,12,0.0,0.021
gu-en,baseline,13,0.0,0.034
en-gu,baseline,13,0.0,0.014
gu-en,baseline,14,0.0,0.064
en-gu,baseline,14,0.0,0.014
gu-en,subword-nmt,10,0.0,0.07
en-gu,subword-nmt,10,0.0,0.024
gu-en,subword-nmt,11,0.0,0.047
en-gu,subword-nmt,11,0.0,0.02
gu-en,subword-nmt,12,0.0,0.056
en-gu,subword-nmt,12,0.0,0.018
gu-en,subword-nmt,13,0.0,0.061
en-gu,subword-nmt,13,0.0,0.026
gu-en,subword-nmt,14,0.0,0.06
en-gu,subword-nmt,14,0.0,0.023
