pair,method,seed,bleu,chrf3
kk-en,baseline,10,2.1,0.242
en-kk,baseline,10,1.1,0.219
kk-en,baseline,11,2.2,0.237
en-kk,baseline,11,1.0,0.224
kk-en,baseline,12,2.4,0.246
en-kk,baseline,12,1.0,0.212
kk-en,baseline,13,2.4,0.242
en-kk,baseline,13,0.8,0.212
kk-en,baseline,14,2.4,0.25
en-kk,baseline,14,1.1,0.224
kk-en,subword-nmt,10,1.8,0.251
en-kk,subword-nmt,10,0.5,0.209
kk-en,subword-nmt,11,1.4,0.244
en-kk,subword-nmt,11,0.5,0.21
kk-en,subword-nmt,12,1.8,0.249
en-kk,subword-nmt,12,0.6,0.207
kk-en,subword-nmt,13,1.7,0.249
en-kk,subword-nmt,13,0.6,0.214
kk-en,subword-nmt,14,1.6,0.246
en-kk,subword-nmt,14,0.6,0.21
