pair,method,seed,bleu,chrf3
gu-en,baseline,10,0.0,0.025
en-gu,baseline,10,0.0,0.008
gu-en,baseline,11,0.0,0.012
en-gu,baseline,11,0.0,0.014
gu-en,baseline,12,0.0,0.029
en-gu,baseline,12,0.0,0.011
gu-en,baseline,13,0.0,0.016
en-gu,baseline,13,0.0,0.01
gu-en,baseline,14,0.0,0.04
en-gu,baseline,14,0.0,0.013
gu-en,subword-nmt,10,0.0,0.05
en-gu,subword-nmt,10,0.0,0.017
gu-en,subword-nmt,11,0.0,0.056
en-gu,subword-nmt,11,0.0,0.016
gu-en,subword-nmt,12,0.0,0.053
en-gu,subword-nmt,12,0.0,0.014
gu-en,subword-nmt,13,0.0,0.016
en-gu,subword-nmt,13,0.0,0.014
gu-en,subword-nmt,14,0.0,0.065
en-gu,subword-nmt,14,0.0,0.015
